Region,Season,Product_Name,Cultivated_Extent_ha,Recommended_Dose_kg_per_ha,Estimated_Regional_Demand_MT,Major_Crops
Eastern Province,Maha,Ammonium Sulfate (SOA),132000,120.0,17424.0,"Paddy, Groundnut, Maize"
Eastern Province,Maha,Dolomite,132000,250.0,36300.0,"Paddy, Groundnut, Maize"
Eastern Province,Maha,Compost / Organic,132000,1000.0,145200.0,"Paddy, Groundnut, Maize"
Eastern Province,Maha,Eppawala Rock Phosphate (ERP),132000,100.0,14520.0,"Paddy, Groundnut, Maize"
Eastern Province,Yala,Urea,82000,225.0,20295.0,"Paddy, Groundnut, Maize"
Eastern Province,Yala,TSP (Triple Super Phosphate),82000,55.0,4961.0,"Paddy, Groundnut, Maize"
Eastern Province,Yala,MOP (Muriate of Potash),82000,60.0,5412.0,"Paddy, Groundnut, Maize"
Eastern Province,Yala,NPK 15-15-15,82000,150.0,13530.0,"Paddy, Groundnut, Maize"
Eastern Province,Yala,NPK 12-12-17,82000,160.0,14432.0,"Paddy, Groundnut, Maize"
Eastern Province,Yala,Ammonium Sulfate (SOA),82000,120.0,10824.0,"Paddy, Groundnut, Maize"
Eastern Province,Yala,Dolomite,82000,250.0,22550.0,"Paddy, Groundnut, Maize"
Eastern Province,Yala,Compost / Organic,82000,1000.0,90200.0,"Paddy, Groundnut, Maize"
Eastern Province,Yala,Eppawala Rock Phosphate (ERP),82000,100.0,9020.0,"Paddy, Groundnut, Maize"
Eastern Province,Off-Season,Urea,28699,225.0,7103.0,"Paddy, Groundnut, Maize"
Eastern Province,Off-Season,TSP (Triple Super Phosphate),28699,55.0,1736.29,"Paddy, Groundnut, Maize"
Eastern Province,Off-Season,MOP (Muriate of Potash),28699,60.0,1894.13,"Paddy, Groundnut, Maize"
Eastern Province,Off-Season,NPK 15-15-15,28699,150.0,4735.34,"Paddy, Groundnut, Maize"
Eastern Province,Off-Season,NPK 12-12-17,28699,160.0,5051.02,"Paddy, Groundnut, Maize"
Eastern Province,Off-Season,Ammonium Sulfate (SOA),28699,120.0,3788.27,"Paddy, Groundnut, Maize"
Eastern Province,Off-Season,Dolomite,28699,250.0,7892.23,"Paddy, Groundnut, Maize"
Eastern Province,Off-Season,Compost / Organic,28699,1000.0,31568.9,"Paddy, Groundnut, Maize"
Eastern Province,Off-Season,Eppawala Rock Phosphate (ERP),28699,100.0,3156.89,"Paddy, Groundnut, Maize"
North Western Province,Maha,Urea,95000,225.0,22443.75,"Paddy, Coconut, Vegetables"
North Western Province,Maha,TSP (Triple Super Phosphate),95000,55.0,5486.25,"Paddy, Coconut, Vegetables"
North Western Province,Maha,MOP (Muriate of Potash),95000,60.0,5985.0,"Paddy, Coconut, Vegetables"
North Western Province,Maha,NPK 15-15-15,95000,150.0,14962.5,"Paddy, Coconut, Vegetables"
North Western Province,Maha,NPK 12-12-17,95000,160.0,15960.0,"Paddy, Coconut, Vegetables"
North Western Province,Maha,Ammonium Sulfate (SOA),95000,120.0,11970.0,"Paddy, Coconut, Vegetables"
North Western Province,Maha,Dolomite,95000,250.0,24937.5,"Paddy, Coconut, Vegetables"
North Western Province,Maha,Compost / Organic,95000,1000.0,99750.0,"Paddy, Coconut, Vegetables"
North Western Province,Maha,Eppawala Rock Phosphate (ERP),95000,100.0,9975.0,"Paddy, Coconut, Vegetables"
North Western Province,Yala,Urea,62000,225.0,14647.5,"Paddy, Coconut, Vegetables"
North Western Province,Yala,TSP (Triple Super Phosphate),62000,55.0,3580.5,"Paddy, Coconut, Vegetables"
North Western Province,Yala,MOP (Muriate of Potash),62000,60.0,3906.0,"Paddy, Coconut, Vegetables"
North Western Province,Yala,NPK 15-15-15,62000,150.0,9765.0,"Paddy, Coconut, Vegetables"
North Western Province,Yala,NPK 12-12-17,62000,160.0,10416.0,"Paddy, Coconut, Vegetables"
North Western Province,Yala,Ammonium Sulfate (SOA),62000,120.0,7812.0,"Paddy, Coconut, Vegetables"
North Western Province,Yala,Dolomite,62000,250.0,16275.0,"Paddy, Coconut, Vegetables"
North Western Province,Yala,Compost / Organic,62000,1000.0,65100.0,"Paddy, Coconut, Vegetables"
North Western Province,Yala,Eppawala Rock Phosphate (ERP),62000,100.0,6510.0,"Paddy, Coconut, Vegetables"
North Western Province,Off-Season,Urea,21700,225.0,5126.62,"Paddy, Coconut, Vegetables"
North Western Province,Off-Season,TSP (Triple Super Phosphate),21700,55.0,1253.17,"Paddy, Coconut, Vegetables"
North Western Province,Off-Season,MOP (Muriate of Potash),21700,60.0,1367.1,"Paddy, Coconut, Vegetables"
North Western Province,Off-Season,NPK 15-15-15,21700,150.0,3417.75,"Paddy, Coconut, Vegetables"
North Western Province,Off-Season,NPK 12-12-17,21700,160.0,3645.6,"Paddy, Coconut, Vegetables"
North Western Province,Off-Season,Ammonium Sulfate (SOA),21700,120.0,2734.2,"Paddy, Coconut, Vegetables"
North Western Province,Off-Season,Dolomite,21700,250.0,5696.25,"Paddy, Coconut, Vegetables"
North Western Province,Off-Season,Compost / Organic,21700,1000.0,22785.0,"Paddy, Coconut, Vegetables"
North Western Province,Off-Season,Eppawala Rock Phosphate (ERP),21700,100.0,2278.5,"Paddy, Coconut, Vegetables"
Southern Province,Maha,Urea,68000,225.0,15300.0,"Paddy, Cinnamon, Tea"
Southern Province,Maha,TSP (Triple Super Phosphate),68000,55.0,3740.0,"Paddy, Cinnamon, Tea"
Southern Province,Maha,MOP (Muriate of Potash),68000,60.0,4080.0,"Paddy, Cinnamon, Tea"
Southern Province,Maha,NPK 15-15-15,68000,150.0,10200.0,"Paddy, Cinnamon, Tea"
Southern Province,Maha,NPK 12-12-17,68000,160.0,10880.0,"Paddy, Cinnamon, Tea"
Southern Province,Maha,Ammonium Sulfate (SOA),68000,120.0,8160.0,"Paddy, Cinnamon, Tea"
Southern Province,Maha,Dolomite,68000,250.0,17000.0,"Paddy, Cinnamon, Tea"
Southern Province,Maha,Compost / Organic,68000,1000.0,68000.0,"Paddy, Cinnamon, Tea"
Southern Province,Maha,Eppawala Rock Phosphate (ERP),68000,100.0,6800.0,"Paddy, Cinnamon, Tea"
Southern Province,Yala,Urea,44000,225.0,9900.0,"Paddy, Cinnamon, Tea"
Southern Province,Yala,TSP (Triple Super Phosphate),44000,55.0,2420.0,"Paddy, Cinnamon, Tea"
Southern Province,Yala,MOP (Muriate of Potash),44000,60.0,2640.0,"Paddy, Cinnamon, Tea"
Southern Province,Yala,NPK 15-15-15,44000,150.0,6600.0,"Paddy, Cinnamon, Tea"
Southern Province,Yala,NPK 12-12-17,44000,160.0,7040.0,"Paddy, Cinnamon, Tea"
Southern Province,Yala,Ammonium Sulfate (SOA),44000,120.0,5280.0,"Paddy, Cinnamon, Tea"
Southern Province,Yala,Dolomite,44000,250.0,11000.0,"Paddy, Cinnamon, Tea"
Southern Province,Yala,Compost / Organic,44000,1000.0,44000.0,"Paddy, Cinnamon, Tea"
Southern Province,Yala,Eppawala Rock Phosphate (ERP),44000,100.0,4400.0,"Paddy, Cinnamon, Tea"
Southern Province,Off-Season,Urea,15399,225.0,3464.78,"Paddy, Cinnamon, Tea"
Southern Province,Off-Season,TSP (Triple Super Phosphate),15399,55.0,846.95,"Paddy, Cinnamon, Tea"
Southern Province,Off-Season,MOP (Muriate of Potash),15399,60.0,923.94,"Paddy, Cinnamon, Tea"
Southern Province,Off-Season,NPK 15-15-15,15399,150.0,2309.85,"Paddy, Cinnamon, Tea"
Southern Province,Off-Season,NPK 12-12-17,15399,160.0,2463.84,"Paddy, Cinnamon, Tea"
Southern Province,Off-Season,Ammonium Sulfate (SOA),15399,120.0,1847.88,"Paddy, Cinnamon, Tea"
Southern Province,Off-Season,Dolomite,15399,250.0,3849.75,"Paddy, Cinnamon, Tea"
Southern Province,Off-Season,Compost / Organic,15399,1000.0,15399.0,"Paddy, Cinnamon, Tea"
Southern Province,Off-Season,Eppawala Rock Phosphate (ERP),15399,100.0,1539.9,"Paddy, Cinnamon, Tea"
Central Province,Maha,Urea,48000,225.0,14040.0,"Tea, Vegetables, Potato"
Central Province,Maha,TSP (Triple Super Phosphate),48000,55.0,3432.0,"Tea, Vegetables, Potato"
Central Province,Maha,MOP (Muriate of Potash),48000,60.0,3744.0,"Tea, Vegetables, Potato"
Central Province,Maha,NPK 15-15-15,48000,150.0,9360.0,"Tea, Vegetables, Potato"
Central Province,Maha,NPK 12-12-17,48000,160.0,9984.0,"Tea, Vegetables, Potato"
Central Province,Maha,Ammonium Sulfate (SOA),48000,120.0,7488.0,"Tea, Vegetables, Potato"
Central Province,Maha,Dolomite,48000,250.0,15600.0,"Tea, Vegetables, Potato"
Central Province,Maha,Compost / Organic,48000,1000.0,62400.0,"Tea, Vegetables, Potato"
Central Province,Maha,Eppawala Rock Phosphate (ERP),48000,100.0,6240.0,"Tea, Vegetables, Potato"
Central Province,Yala,Urea,38000,225.0,11115.0,"Tea, Vegetables, Potato"
Central Province,Yala,TSP (Triple Super Phosphate),38000,55.0,2717.0,"Tea, Vegetables, Potato"
Central Province,Yala,MOP (Muriate of Potash),38000,60.0,2964.0,"Tea, Vegetables, Potato"
Central Province,Yala,NPK 15-15-15,38000,150.0,7410.0,"Tea, Vegetables, Potato"
Central Province,Yala,NPK 12-12-17,38000,160.0,7904.0,"Tea, Vegetables, Potato"
Central Province,Yala,Ammonium Sulfate (SOA),38000,120.0,5928.0,"Tea, Vegetables, Potato"
Central Province,Yala,Dolomite,38000,250.0,12350.0,"Tea, Vegetables, Potato"
Central Province,Yala,Compost / Organic,38000,1000.0,49400.0,"Tea, Vegetables, Potato"
Central Province,Yala,Eppawala Rock Phosphate (ERP),38000,100.0,4940.0,"Tea, Vegetables, Potato"
Central Province,Off-Season,Urea,13300,225.0,3890.25,"Tea, Vegetables, Potato"
Central Province,Off-Season,TSP (Triple Super Phosphate),13300,55.0,950.95,"Tea, Vegetables, Potato"
Central Province,Off-Season,MOP (Muriate of Potash),13300,60.0,1037.4,"Tea, Vegetables, Potato"
Central Province,Off-Season,NPK 15-15-15,13300,150.0,2593.5,"Tea, Vegetables, Potato"
Central Province,Off-Season,NPK 12-12-17,13300,160.0,2766.4,"Tea, Vegetables, Potato"
Central Province,Off-Season,Ammonium Sulfate (SOA),13300,120.0,2074.8,"Tea, Vegetables, Potato"
Central Province,Off-Season,Dolomite,13300,250.0,4322.5,"Tea, Vegetables, Potato"
Central Province,Off-Season,Compost / Organic,13300,1000.0,17290.0,"Tea, Vegetables, Potato"
Central Province,Off-Season,Eppawala Rock Phosphate (ERP),13300,100.0,1729.0,"Tea, Vegetables, Potato"
Uva Province,Maha,Urea,55000,225.0,15468.75,"Vegetables, Paddy, Sugar cane"
Uva Province,Maha,TSP (Triple Super Phosphate),55000,55.0,3781.25,"Vegetables, Paddy, Sugar cane"
Uva Province,Maha,MOP (Muriate of Potash),55000,60.0,4125.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Maha,NPK 15-15-15,55000,150.0,10312.5,"Vegetables, Paddy, Sugar cane"
Uva Province,Maha,NPK 12-12-17,55000,160.0,11000.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Maha,Ammonium Sulfate (SOA),55000,120.0,8250.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Maha,Dolomite,55000,250.0,17187.5,"Vegetables, Paddy, Sugar cane"
Uva Province,Maha,Compost / Organic,55000,1000.0,68750.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Maha,Eppawala Rock Phosphate (ERP),55000,100.0,6875.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Yala,Urea,42000,225.0,11812.5,"Vegetables, Paddy, Sugar cane"
Uva Province,Yala,TSP (Triple Super Phosphate),42000,55.0,2887.5,"Vegetables, Paddy, Sugar cane"
Uva Province,Yala,MOP (Muriate of Potash),42000,60.0,3150.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Yala,NPK 15-15-15,42000,150.0,7875.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Yala,NPK 12-12-17,42000,160.0,8400.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Yala,Ammonium Sulfate (SOA),42000,120.0,6300.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Yala,Dolomite,42000,250.0,13125.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Yala,Compost / Organic,42000,1000.0,52500.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Yala,Eppawala Rock Phosphate (ERP),42000,100.0,5250.0,"Vegetables, Paddy, Sugar cane"
Uva Province,Off-Season,Urea,14699,225.0,4134.09,"Vegetables, Paddy, Sugar cane"
Uva Province,Off-Season,TSP (Triple Super Phosphate),14699,55.0,1010.56,"Vegetables, Paddy, Sugar cane"
Uva Province,Off-Season,MOP (Muriate of Potash),14699,60.0,1102.42,"Vegetables, Paddy, Sugar cane"
Uva Province,Off-Season,NPK 15-15-15,14699,150.0,2756.06,"Vegetables, Paddy, Sugar cane"
Uva Province,Off-Season,NPK 12-12-17,14699,160.0,2939.8,"Vegetables, Paddy, Sugar cane"
Uva Province,Off-Season,Ammonium Sulfate (SOA),14699,120.0,2204.85,"Vegetables, Paddy, Sugar cane"
Uva Province,Off-Season,Dolomite,14699,250.0,4593.44,"Vegetables, Paddy, Sugar cane"
Uva Province,Off-Season,Compost / Organic,14699,1000.0,18373.75,"Vegetables, Paddy, Sugar cane"
Uva Province,Off-Season,Eppawala Rock Phosphate (ERP),14699,100.0,1837.38,"Vegetables, Paddy, Sugar cane"
Northern Province,Maha,Urea,72000,225.0,17010.0,"Paddy, Red Onion, Chili"
Northern Province,Maha,TSP (Triple Super Phosphate),72000,55.0,4158.0,"Paddy, Red Onion, Chili"
Northern Province,Maha,MOP (Muriate of Potash),72000,60.0,4536.0,"Paddy, Red Onion, Chili"
Northern Province,Maha,NPK 15-15-15,72000,150.0,11340.0,"Paddy, Red Onion, Chili"
Northern Province,Maha,NPK 12-12-17,72000,160.0,12096.0,"Paddy, Red Onion, Chili"
Northern Province,Maha,Ammonium Sulfate (SOA),72000,120.0,9072.0,"Paddy, Red Onion, Chili"
Northern Province,Maha,Dolomite,72000,250.0,18900.0,"Paddy, Red Onion, Chili"
Northern Province,Maha,Compost / Organic,72000,1000.0,75600.0,"Paddy, Red Onion, Chili"
Northern Province,Maha,Eppawala Rock Phosphate (ERP),72000,100.0,7560.0,"Paddy, Red Onion, Chili"
Northern Province,Yala,Urea,35000,225.0,8268.75,"Paddy, Red Onion, Chili"
Northern Province,Yala,TSP (Triple Super Phosphate),35000,55.0,2021.25,"Paddy, Red Onion, Chili"
Northern Province,Yala,MOP (Muriate of Potash),35000,60.0,2205.0,"Paddy, Red Onion, Chili"
Northern Province,Yala,NPK 15-15-15,35000,150.0,5512.5,"Paddy, Red Onion, Chili"
Northern Province,Yala,NPK 12-12-17,35000,160.0,5880.0,"Paddy, Red Onion, Chili"
Northern Province,Yala,Ammonium Sulfate (SOA),35000,120.0,4410.0,"Paddy, Red Onion, Chili"
Northern Province,Yala,Dolomite,35000,250.0,9187.5,"Paddy, Red Onion, Chili"
Northern Province,Yala,Compost / Organic,35000,1000.0,36750.0,"Paddy, Red Onion, Chili"
Northern Province,Yala,Eppawala Rock Phosphate (ERP),35000,100.0,3675.0,"Paddy, Red Onion, Chili"
Northern Province,Off-Season,Urea,12250,225.0,2894.06,"Paddy, Red Onion, Chili"
Northern Province,Off-Season,TSP (Triple Super Phosphate),12250,55.0,707.44,"Paddy, Red Onion, Chili"
Northern Province,Off-Season,MOP (Muriate of Potash),12250,60.0,771.75,"Paddy, Red Onion, Chili"
Northern Province,Off-Season,NPK 15-15-15,12250,150.0,1929.38,"Paddy, Red Onion, Chili"
Northern Province,Off-Season,NPK 12-12-17,12250,160.0,2058.0,"Paddy, Red Onion, Chili"
Northern Province,Off-Season,Ammonium Sulfate (SOA),12250,120.0,1543.5,"Paddy, Red Onion, Chili"
Northern Province,Off-Season,Dolomite,12250,250.0,3215.62,"Paddy, Red Onion, Chili"
Northern Province,Off-Season,Compost / Organic,12250,1000.0,12862.5,"Paddy, Red Onion, Chili"
Northern Province,Off-Season,Eppawala Rock Phosphate (ERP),12250,100.0,1286.25,"Paddy, Red Onion, Chili"
Sabaragamuwa Province,Maha,Urea,42000,225.0,10395.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Maha,TSP (Triple Super Phosphate),42000,55.0,2541.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Maha,MOP (Muriate of Potash),42000,60.0,2772.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Maha,NPK 15-15-15,42000,150.0,6930.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Maha,NPK 12-12-17,42000,160.0,7392.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Maha,Ammonium Sulfate (SOA),42000,120.0,5544.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Maha,Dolomite,42000,250.0,11550.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Maha,Compost / Organic,42000,1000.0,46200.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Maha,Eppawala Rock Phosphate (ERP),42000,100.0,4620.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Yala,Urea,31000,225.0,7672.5,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Yala,TSP (Triple Super Phosphate),31000,55.0,1875.5,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Yala,MOP (Muriate of Potash),31000,60.0,2046.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Yala,NPK 15-15-15,31000,150.0,5115.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Yala,NPK 12-12-17,31000,160.0,5456.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Yala,Ammonium Sulfate (SOA),31000,120.0,4092.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Yala,Dolomite,31000,250.0,8525.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Yala,Compost / Organic,31000,1000.0,34100.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Yala,Eppawala Rock Phosphate (ERP),31000,100.0,3410.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Off-Season,Urea,10850,225.0,2685.38,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Off-Season,TSP (Triple Super Phosphate),10850,55.0,656.42,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Off-Season,MOP (Muriate of Potash),10850,60.0,716.1,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Off-Season,NPK 15-15-15,10850,150.0,1790.25,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Off-Season,NPK 12-12-17,10850,160.0,1909.6,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Off-Season,Ammonium Sulfate (SOA),10850,120.0,1432.2,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Off-Season,Dolomite,10850,250.0,2983.75,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Off-Season,Compost / Organic,10850,1000.0,11935.0,"Tea, Rubber, Paddy, Vegetables"
Sabaragamuwa Province,Off-Season,Eppawala Rock Phosphate (ERP),10850,100.0,1193.5,"Tea, Rubber, Paddy, Vegetables"
Western Province,Maha,Urea,28000,225.0,5985.0,"Paddy, Horticulture, Rubber"
Western Province,Maha,TSP (Triple Super Phosphate),28000,55.0,1463.0,"Paddy, Horticulture, Rubber"
Western Province,Maha,MOP (Muriate of Potash),28000,60.0,1596.0,"Paddy, Horticulture, Rubber"
Western Province,Maha,NPK 15-15-15,28000,150.0,3990.0,"Paddy, Horticulture, Rubber"
Western Province,Maha,NPK 12-12-17,28000,160.0,4256.0,"Paddy, Horticulture, Rubber"
Western Province,Maha,Ammonium Sulfate (SOA),28000,120.0,3192.0,"Paddy, Horticulture, Rubber"
Western Province,Maha,Dolomite,28000,250.0,6650.0,"Paddy, Horticulture, Rubber"
Western Province,Maha,Compost / Organic,28000,1000.0,26600.0,"Paddy, Horticulture, Rubber"
Western Province,Maha,Eppawala Rock Phosphate (ERP),28000,100.0,2660.0,"Paddy, Horticulture, Rubber"
Western Province,Yala,Urea,19000,225.0,4061.25,"Paddy, Horticulture, Rubber"
Western Province,Yala,TSP (Triple Super Phosphate),19000,55.0,992.75,"Paddy, Horticulture, Rubber"
Western Province,Yala,MOP (Muriate of Potash),19000,60.0,1083.0,"Paddy, Horticulture, Rubber"
Western Province,Yala,NPK 15-15-15,19000,150.0,2707.5,"Paddy, Horticulture, Rubber"
Western Province,Yala,NPK 12-12-17,19000,160.0,2888.0,"Paddy, Horticulture, Rubber"
Western Province,Yala,Ammonium Sulfate (SOA),19000,120.0,2166.0,"Paddy, Horticulture, Rubber"
Western Province,Yala,Dolomite,19000,250.0,4512.5,"Paddy, Horticulture, Rubber"
Western Province,Yala,Compost / Organic,19000,1000.0,18050.0,"Paddy, Horticulture, Rubber"
Western Province,Yala,Eppawala Rock Phosphate (ERP),19000,100.0,1805.0,"Paddy, Horticulture, Rubber"
Western Province,Off-Season,Urea,6650,225.0,1421.44,"Paddy, Horticulture, Rubber"
Western Province,Off-Season,TSP (Triple Super Phosphate),6650,55.0,347.46,"Paddy, Horticulture, Rubber"
Western Province,Off-Season,MOP (Muriate of Potash),6650,60.0,379.05,"Paddy, Horticulture, Rubber"
Western Province,Off-Season,NPK 15-15-15,6650,150.0,947.62,"Paddy, Horticulture, Rubber"
Western Province,Off-Season,NPK 12-12-17,6650,160.0,1010.8,"Paddy, Horticulture, Rubber"
Western Province,Off-Season,Ammonium Sulfate (SOA),6650,120.0,758.1,"Paddy, Horticulture, Rubber"
Western Province,Off-Season,Dolomite,6650,250.0,1579.38,"Paddy, Horticulture, Rubber"
Western Province,Off-Season,Compost / Organic,6650,1000.0,6317.5,"Paddy, Horticulture, Rubber"
Western Province,Off-Season,Eppawala Rock Phosphate (ERP),6650,100.0,631.75,"Paddy, Horticulture, Rubber"
