Record_ID,Batch_ID,Test_Date,Season,Region,Supplier,Product_Name,Manufacturer_Country,Typical_Use,Application_Method,Quantity_kg,Unit_Price_LKR_per_kg,Total_Cost_LKR,Base_Amount_g,Nitrogen_N_g_per_100g,Phosphorus_P_g_per_100g,Potassium_K_g_per_100g,Other_Micro_Elements_per_100g,Moisture_Content_pct,Lab_Certified,Notes,Year,Month,year_month,expected_n,expected_p,expected_k,max_moisture_pct,typical_adulterants,dev_n,dev_p,dev_k,excess_moisture,Chemical_Deviation_Score,Quality_Score,Adulterant_Type,Benchmark_Price_LKR_kg,Price_Diff_From_Benchmark,Price_Deviation_Pct,Price_Arbitrage_Flag,Cultivated_Extent_ha,Estimated_Regional_Demand_MT,monthly_rainfall_mm,avg_temperature_c,Provincial_Center_Lat,Provincial_Center_Lon,Primary_Agro_Zone,Estimated_Yield_Loss_Pct,Estimated_Economic_Loss_LKR_per_ha,NLP_Risk_Score,NLP_Risk_Category,Total_Active_NPK,Estimated_Inert_Filler,Ratio_N_to_P,Ratio_N_to_K,Moisture_Volatilization_Interaction,Cost_per_Gram_Active_Nutrient,Moisture_Cost_Waste_LKR_kg
AGR-28215,BT24-9918B,2023-01-09,Yala,Central Province,Kandy Farm Supplies,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,500.0,190.0,95000.0,100,0.0,0.0,61.0,Chlorine: 1.16 %,2.8,Yes,,2023,1,2023-01,0.0,0.0,60.0,2.0,"Table salt (NaCl), Red dyed sand, Sand",0.0,0.0,0.016666666666666666,0.7999999999999998,17.67,67.1,Substandard_Blend,195.0,-5.0,-2.56,0,38000,2964.0,39.7,22.287096774193547,7.235933333333333,80.68206666666667,Wet Zone,10.84,59836.8,0.1,Normal,61.0,36.2,0.0,0.0,0.0,0.311,1.52
AGR-59529,BT24-3110,2024-09-23,Off-Season,Western Province,Jaffna Fertilizer Depot,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,100.5,285.68,28710.84,100,11.5,11.5,16.8,Magnesium: 1.32 % | Boron: 12.7 g/kg,2.1,No,Imported directly,2024,9,2024-09,12.0,12.0,17.0,2.0,"Inert filler, Clay, Sand",0.041666666666666664,0.041666666666666664,0.0117647058823529,0.10000000000000009,11.51,81.9,Substandard_Blend,250.0,35.68,14.27,1,6650,1010.8,310.4,26.99333333333333,6.8655,79.9386,Wet Zone,6.0,33120.0,0.1,Low_Risk,39.8,58.1,1.0,0.68,0.088,0.718,0.29
AGR-22146,MF22-5537B,2022-07-11,Off-Season,Central Province,Eastern Agrochem Depot,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,1000.0,120.0,120000.0,100,45.7,0.0,0.0,Not Detected,2.6,No,Local production batch,2022,7,2022-07,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.006521739130434721,0.0,0.0,1.1,22.65,57.2,Heavy_Insoluble_Filler,180.0,-60.0,-33.33,0,13300,3890.25,131.6,23.780645161290323,7.235933333333333,80.68206666666667,Wet Zone,14.08,77721.6,0.4,Medium_Risk,45.7,51.699999999999996,457.0,457.0,0.017,0.263,1.32
AGR-60506,CR23-4971B,2022-08-04,Maha,Eastern Province,Hayleys Agriculture Holdings,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,25.0,150.0,3750.0,100,0.0,46.3,0.07,Calcium: 7.3 g/kg,1.3,Yes,,2022,8,2022-08,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.006521739130434721,0.0,0.0,0.65,99.0,Standard_Pure,210.0,-60.0,-28.57,0,132000,7986.0,135.8,28.038709677419355,7.869866666666667,81.52076666666666,Dry Zone,0.0,0.0,0.1,Normal,46.37,52.330000000000005,0.0,0.0,0.0,0.323,0.0
AGR-40170,BT22-2849C,2023-07-31,Maha,Central Province,Colombo Pesticide Warehouse,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,1000.0,278.54,278540.0,100,14.5,14.8,15.1,Sulfur: 2.31 % | Boron: 13.0 g/kg,3.7,No,Opened bag — partial quantity,2023,7,2023-07,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.03333333333333333,0.013333333333333286,0.006666666666666643,1.7000000000000002,39.33,27.4,Moisture_Weight_Padding,255.0,23.54,9.23,1,48000,9360.0,136.9,24.24516129032258,7.235933333333333,80.68206666666667,Wet Zone,23.92,132038.4,0.8,High_Risk,44.4,51.9,0.98,0.96,0.123,0.627,4.74
AGR-97001,LT22-8029,2023-07-05,Maha,Eastern Province,Anuradhapura Agro Mart,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,5.5,239.07,1314.88,100,15.6,15.24,14.4,Sulfur: 0.64 % | Boron: 1.42 %,2.4,Yes,,2023,7,2023-07,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.03999999999999997,0.016000000000000014,0.03999999999999997,0.3999999999999999,17.6,70.4,Substandard_Blend,255.0,-15.93,-6.25,0,132000,21780.0,52.7,30.0,7.869866666666667,81.52076666666666,Dry Zone,9.8,54096.0,0.1,Normal,45.24,52.36,1.02,1.08,0.096,0.528,0.96
AGR-29715,AG22-7848B,2022-12-15,Off-Season,Central Province,Eastern Agrochem Depot,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,503.0,128.54,64655.62,100,20.0,0.0,0.06,Sulfur: 2.75 %,1.0,Yes,,2022,12,2022-12,21.0,0.0,0.0,1.5,"Industrial gypsum, Salt, Water",0.047619047619047616,0.0,0.0,0.0,4.76,92.9,Standard_Pure,160.0,-31.46,-19.66,0,13300,2074.8,191.0,22.306451612903224,7.235933333333333,80.68206666666667,Wet Zone,0.0,0.0,0.1,Normal,20.06,78.94,200.0,200.0,0.048,0.641,0.0
AGR-77505,MF22-8379C,2024-06-10,Maha,North Western Province,Agromart Ltd,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,9.0,214.58,1931.22,100,0.0,0.24,57.2,Chlorine: 17.4 g/kg,2.1,No,,2024,6,2024-06,0.0,0.0,60.0,2.0,"Table salt (NaCl), Red dyed sand, Sand",0.0,0.0,0.04666666666666662,0.10000000000000009,6.67,89.2,Substandard_Blend,175.0,39.58,22.62,1,95000,5985.0,134.3,26.10666666666667,7.7612499999999995,80.09530000000001,Intermediate Zone,3.58,19761.6,0.1,Normal,57.440000000000005,40.459999999999994,0.0,0.0,0.0,0.374,0.21
AGR-12240,MF23-9109,2023-10-06,Maha,Sabaragamuwa Province,Pettah Agro Traders,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,99.0,238.59,23620.41,100,15.1,14.3,15.0,Sulfur: 12.2 g/100g | Boron: 23.2 g/kg,1.0,No,,2023,10,2023-10,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.006666666666666643,0.04666666666666662,0.0,0.0,5.33,92.0,Substandard_Blend,255.0,-16.41,-6.44,0,42000,6930.0,696.3,25.429032258064517,6.96705,80.37505,Wet Zone,2.66,14683.2,0.1,Normal,44.4,54.6,1.06,1.01,0.007,0.537,0.0
AGR-23974,AG24-7084C,2024-05-06,Off-Season,Sabaragamuwa Province,Agromart Ltd,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,1000.0,109.9,109900.0,100,45.47,0.0,0.0,Not Detected,3.8,Yes,,2024,5,2024-05,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.011521739130434807,0.0,0.0,2.3,47.15,10.9,Moisture_Weight_Padding,105.0,4.9,4.67,0,10850,2685.38,730.2,26.961290322580645,6.96705,80.37505,Wet Zone,29.32,161846.4,0.1,Normal,45.47,50.730000000000004,454.7,454.7,0.044,0.242,2.53
AGR-58301,LT22-9552A,2023-06-20,Yala,Central Province,Pettah Agro Traders,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,10.0,122.0,1220.0,100,46.4,0.0,0.0,Not Detected,1.2,Yes,,2023,6,2023-06,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.008695652173913012,0.0,0.0,0.0,0.87,98.7,Standard_Pure,120.0,2.0,1.67,0,38000,11115.0,74.3,25.05,7.235933333333333,80.68206666666667,Wet Zone,0.0,0.0,0.1,Normal,46.4,52.4,464.0,464.0,0.01,0.263,0.0
AGR-59027,MF24-6480A,2022-07-15,Off-Season,Northern Province,Galle Agrochemical Stores,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,2.0,170.0,340.0,100,0.01,46.0,0.0,Calcium: 2.77 %,1.8,Yes,Imported directly,2022,7,2022-07,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.0,0.0,0.0,0.0,100.0,Standard_Pure,210.0,-40.0,-19.05,0,12250,707.44,65.89999999999999,28.583870967741937,9.20826,80.32364,Dry Zone,0.0,0.0,0.1,Low_Risk,46.01,52.190000000000005,0.0,0.1,0.0,0.369,0.0
AGR-41157,CR23-3533A,2022-12-12,Yala,Southern Province,CIC Agri Businesses,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,10.0,165.88,1658.8,100,0.0,46.3,0.0,Calcium: 1.26 %,1.4,Yes,Imported directly,2022,12,2022-12,0.0,46.0,0.0,3.0,"Inert red soil, Rock powder, Crushed brick",0.0,0.006521739130434721,0.0,0.0,0.65,99.0,Standard_Pure,210.0,-44.12,-21.01,0,44000,2420.0,210.1,25.361290322580647,6.050433333333333,80.6324,Dry Zone,0.0,0.0,0.1,Low_Risk,46.3,52.300000000000004,0.0,0.0,0.0,0.358,0.0
AGR-94115,BT23-6709B,2024-02-05,Maha,Southern Province,Matara Farm Solutions,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,51.5,269.15,13861.22,100,12.1,11.4,17.0,Magnesium: 24.2 g/kg | Boron: 0.81 %,1.2,Yes,Local production batch,2024,2,2024-02,12.0,12.0,17.0,2.0,"Inert filler, Clay, Sand",0.008333333333333304,0.04999999999999997,0.0,0.0,5.83,91.3,Standard_Pure,250.0,19.15,7.66,0,68000,10880.0,80.1,27.03448275862069,6.050433333333333,80.6324,Dry Zone,0.0,0.0,0.4,Medium_Risk,40.5,58.3,1.06,0.71,0.01,0.665,0.0
AGR-35908,LT24-5410B,2024-07-19,Off-Season,Western Province,Jaffna Fertilizer Depot,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,26.0,276.08,7178.08,100,15.2,14.91,15.1,Sulfur: 12.2 g/kg | Boron: 24.3 g/100g,2.9,Yes,,2024,7,2024-07,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.013333333333333286,0.005999999999999991,0.006666666666666643,0.8999999999999999,20.6,61.9,Substandard_Blend,235.0,41.08,17.48,0,6650,947.62,316.0,27.12903225806452,6.8655,79.9386,Wet Zone,12.55,69276.0,0.1,Normal,45.21,51.89,1.02,1.01,0.039,0.611,2.48
AGR-22686,MF24-8552,2022-02-11,Off-Season,Northern Province,Browns Agricultural Products,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,3.0,253.02,759.06,100,11.9,12.0,17.1,Magnesium: 7.4 g/100g | Boron: 1.66 %,0.7,No,,2022,2,2022-02,12.0,12.0,17.0,2.0,"Inert filler, Clay, Sand",0.008333333333333304,0.0,0.005882352941176554,0.0,1.42,97.9,Substandard_Blend,310.0,-56.98,-18.38,0,12250,2058.0,65.4,25.925,9.20826,80.32364,Dry Zone,2.0,11040.0,0.1,Normal,41.0,58.3,0.99,0.7,0.006,0.617,0.0
AGR-82793,MF23-9498,2022-12-22,Maha,Western Province,Browns Agricultural Products,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,101.0,279.63,28242.63,100,15.1,14.9,14.0,Sulfur: 26.1 g/100g | Boron: 8.6 g/kg,1.9,Yes,Retest recommended,2022,12,2022-12,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.006666666666666643,0.006666666666666643,0.06666666666666667,0.0,8.0,88.0,Standard_Pure,290.0,-10.37,-3.58,0,28000,3990.0,198.6,25.29032258064516,6.8655,79.9386,Wet Zone,0.0,0.0,0.6000000000000001,High_Risk,44.0,54.1,1.01,1.08,0.013,0.636,0.0
AGR-97097,MF22-3312A,2022-07-04,Off-Season,Eastern Province,Agromart Ltd,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,4.0,38.16,152.64,100,1.6,0.9,1.3,Organic Carbon: 11.0 g/kg | Humus: 12.7 g/100g,3.3,Yes,Expired stock — discounted,2022,7,2022-07,1.5,1.0,1.2,25.0,"Raw soil, Debris, Non-composted waste",0.06666666666666672,0.09999999999999998,0.08333333333333341,0.0,25.0,62.5,Substandard_Blend,50.0,-11.84,-23.68,0,28699,31568.9,102.3,28.84193548387097,7.869866666666667,81.52076666666666,Dry Zone,12.5,69000.0,0.8,High_Risk,3.8,92.9,1.78,1.23,0.22,1.004,0.0
AGR-19343,CR22-1006,2022-10-08,Off-Season,Western Province,Browns Agricultural Products,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,2.0,170.0,340.0,100,0.0,0.0,57.6,Chlorine: 0.86 %,3.5,Yes,Local production batch,2022,10,2022-10,0.0,0.0,60.0,2.0,"Table salt (NaCl), Red dyed sand, Sand",0.0,0.0,0.03999999999999997,1.5,34.0,37.0,Heavy_Insoluble_Filler,240.0,-70.0,-29.17,0,6650,379.05,408.5,25.741935483870968,6.8655,79.9386,Wet Zone,20.75,114540.0,0.4,Medium_Risk,57.6,38.9,0.0,0.0,0.0,0.295,2.55
AGR-20274,BT23-4580B,2024-07-01,Maha,Sabaragamuwa Province,Abans Agri Supplies,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,2.0,270.0,540.0,100,11.8,12.5,17.2,Magnesium: 12.3 g/kg | Boron: 15.9 g/100g,1.3,No,Local production batch,2024,7,2024-07,12.0,12.0,17.0,2.0,"Inert filler, Clay, Sand",0.016666666666666607,0.041666666666666664,0.0117647058823529,0.0,7.01,89.5,Substandard_Blend,250.0,20.0,8.0,1,42000,7392.0,369.5,26.4,6.96705,80.37505,Wet Zone,3.5,19320.0,0.4,Medium_Risk,41.5,57.2,0.94,0.69,0.022,0.651,0.0
AGR-20361,BT24-8321,2024-09-11,Off-Season,North Central Province,Hayleys Agriculture Holdings,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,50.0,110.0,5500.0,100,45.7,0.17,0.0,Not Detected,2.4,No,Slight clumping observed,2024,9,2024-09,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.006521739130434721,0.0,0.0,0.8999999999999999,18.65,64.8,Substandard_Blend,105.0,5.0,4.76,1,30799,7969.24,47.2,28.063333333333333,8.12585,80.71125,Dry Zone,11.58,63921.6,0.6000000000000001,High_Risk,45.870000000000005,51.73,268.82,457.0,0.016,0.24,0.99
AGR-58819,AG23-9180,2024-11-08,Maha,Western Province,CIC Agri Businesses,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,200.0,30.0,6000.0,100,1.5,1.02,1.3,Organic Carbon: 14.4 g/kg | Humus: 0.7 %,3.1,Yes,,2024,11,2024-11,1.5,1.0,1.2,25.0,"Raw soil, Debris, Non-composted waste",0.0,0.020000000000000018,0.08333333333333341,0.0,10.33,84.5,Substandard_Blend,35.0,-5.0,-14.29,0,28000,26600.0,354.2,25.77,6.8655,79.9386,Wet Zone,5.16,28483.2,0.1,Normal,3.8200000000000003,93.08,1.47,1.15,0.0,0.785,0.0
AGR-68019,AG22-9281C,2022-08-31,Maha,Central Province,CIC Agri Businesses,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,98.0,276.86,27132.28,100,15.4,15.0,14.6,Sulfur: 1.13 % | Boron: 12.4 g/kg,4.4,Yes,Retest recommended,2022,8,2022-08,15.0,15.0,15.0,2.0,"Inert filler, Clay, Sand",0.02666666666666669,0.0,0.02666666666666669,2.4000000000000004,53.33,0.8,Moisture_Weight_Padding,290.0,-13.14,-4.53,0,48000,9360.0,219.9,23.31935483870968,7.235933333333333,80.68206666666667,Wet Zone,32.66,180283.2,0.6000000000000001,High_Risk,45.0,50.6,1.03,1.05,0.117,0.615,6.64
AGR-34232,LT22-4824B,2022-03-16,Off-Season,North Central Province,Anuradhapura Agro Mart,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,100.5,313.1,31466.55,100,11.6,12.0,16.9,Magnesium: 24.1 g/100g | Boron: 1.35 %,0.3,No,,2022,3,2022-03,12.0,12.0,17.0,2.0,"Inert filler, Clay, Sand",0.03333333333333336,0.0,0.005882352941176554,0.0,3.92,94.1,Substandard_Blend,310.0,3.1,1.0,1,30799,5667.02,55.9,26.74516129032258,8.12585,80.71125,Dry Zone,2.0,11040.0,0.1,Normal,40.5,59.2,0.97,0.69,0.01,0.773,0.0
AGR-22969,AG22-3191C,2022-06-01,Off-Season,North Western Province,Eastern Agrochem Depot,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,4.0,212.85,851.4,100,0.0,0.03,59.5,Chlorine: 27.6 g/100g,3.9,No,Imported directly,2022,6,2022-06,0.0,0.0,60.0,2.0,"Table salt (NaCl), Red dyed sand, Sand",0.0,0.0,0.008333333333333333,1.9,38.83,26.6,Moisture_Weight_Padding,240.0,-27.15,-11.31,0,21700,1367.1,111.1,25.703333333333333,7.7612499999999995,80.09530000000001,Intermediate Zone,24.16,133363.2,0.1,Low_Risk,59.53,36.57,0.0,0.0,0.0,0.358,4.04
AGR-23898,BT23-9544A,2024-09-16,Maha,Central Province,Kurunegala Agri Centre,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,4.0,105.0,420.0,100,45.3,0.09,0.0,Not Detected,2.9,Yes,Sample from bulk storage,2024,9,2024-09,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.015217391304347887,0.0,0.0,1.4,29.52,44.5,Heavy_Insoluble_Filler,105.0,0.0,0.0,0,48000,14040.0,104.8,24.203333333333333,7.235933333333333,80.68206666666667,Wet Zone,18.26,100795.2,0.6000000000000001,Medium_Risk,45.39,51.71,453.0,453.0,0.044,0.231,1.47
AGR-78601,CR24-3827A,2022-08-04,Maha,North Central Province,Matara Farm Solutions,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,103.0,50.0,5150.0,100,0.04,0.18,0.0,Calcium: 1.28 % | Magnesium: 16.7 g/100g,2.7,No,,2022,8,2022-08,0.0,0.0,0.0,2.5,"Limestone powder, Sand",0.0,0.0,0.0,0.20000000000000018,4.0,92.4,Substandard_Blend,45.0,5.0,11.11,1,145000,41687.5,138.2,26.83870967741936,8.12585,80.71125,Dry Zone,2.5,13800.0,0.1,Normal,0.22,97.08,0.22,0.4,0.0,10.0,0.1
AGR-19665,BT23-8927A,2024-09-24,Yala,Eastern Province,Hayleys Agriculture Holdings,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,200.0,105.0,21000.0,100,45.82,0.07,0.0,Not Detected,2.6,Yes,Slight clumping observed,2024,9,2024-09,46.0,0.0,0.0,1.5,"Sand, Low-grade Urea, Salt, Water",0.003913043478260864,0.0,0.0,1.1,22.39,57.6,Heavy_Insoluble_Filler,105.0,0.0,0.0,0,82000,20295.0,56.2,29.426666666666662,7.869866666666667,81.52076666666666,Dry Zone,13.94,76948.8,0.6000000000000001,High_Risk,45.89,51.51,458.2,458.2,0.01,0.229,1.16
