Record_ID,Batch_ID,Test_Date,Season,Region,Supplier,Product_Name,Manufacturer_Country,Typical_Use,Application_Method,Quantity_kg,Unit_Price_LKR_per_kg,Total_Cost_LKR,Base_Amount_g,Nitrogen_N_g_per_100g,Phosphorus_P_g_per_100g,Potassium_K_g_per_100g,Other_Micro_Elements_per_100g,Moisture_Content_pct,Lab_Certified,Notes
AGR-28215,BT24-9918B,2023-01-09,Yala,Central Province,Kandy Farm Supplies,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,500.0,190.0,95000.0,100,0.0,0.0,61.0,Chlorine: 1.16 %,2.8,Yes,
AGR-59529,BT24-3110,2024-09-23,Off-Season,Western Province,Jaffna Fertilizer Depot,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,100.5,285.68,28710.84,100,11.5,11.5,16.8,Magnesium: 1.32 % | Boron: 12.7 g/kg,2.1,No,Imported directly
AGR-22146,MF22-5537B,2022-07-11,Off-Season,Central Province,Eastern Agrochem Depot,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,1000.0,120.0,120000.0,100,45.7,0.0,0.0,Not Detected,2.6,No,Local production batch
AGR-60506,CR23-4971B,2022-08-04,Maha,Eastern Province,Hayleys Agriculture Holdings,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,25.0,150.0,3750.0,100,0.0,46.3,0.07,Calcium: 7.3 g/kg,1.3,Yes,
AGR-40170,BT22-2849C,2023-07-31,Maha,Central Province,Colombo Pesticide Warehouse,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,1000.0,278.54,278540.0,100,14.5,14.8,15.1,Sulfur: 2.31 % | Boron: 13.0 g/kg,3.7,No,Opened bag — partial quantity
AGR-97001,LT22-8029,2023-07-05,Maha,Eastern Province,Anuradhapura Agro Mart,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,5.5,239.07,1314.88,100,15.6,15.24,14.4,Sulfur: 0.64 % | Boron: 1.42 %,2.4,Yes,
AGR-29715,AG22-7848B,2022-12-15,Off-Season,Central Province,Eastern Agrochem Depot,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,503.0,128.54,64655.62,100,20.0,0.0,0.06,Sulfur: 2.75 %,1.0,Yes,
AGR-77505,MF22-8379C,2024-06-10,Maha,North Western Province,Agromart Ltd,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,9.0,214.58,1931.22,100,0.0,0.24,57.2,Chlorine: 17.4 g/kg,2.1,No,
AGR-12240,MF23-9109,2023-10-06,Maha,Sabaragamuwa Province,Pettah Agro Traders,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,99.0,238.59,23620.41,100,15.1,14.3,15.0,Sulfur: 12.2 g/100g | Boron: 23.2 g/kg,1.0,No,
AGR-23974,AG24-7084C,2024-05-06,Off-Season,Sabaragamuwa Province,Agromart Ltd,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,1000.0,109.9,109900.0,100,45.47,0.0,0.0,Not Detected,3.8,Yes,
AGR-58301,LT22-9552A,2023-06-20,Yala,Central Province,Pettah Agro Traders,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,10.0,122.0,1220.0,100,46.4,0.0,0.0,Not Detected,1.2,Yes,
AGR-59027,MF24-6480A,2022-07-15,Off-Season,Northern Province,Galle Agrochemical Stores,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,2.0,170.0,340.0,100,0.01,46.0,0.0,Calcium: 2.77 %,1.8,Yes,Imported directly
AGR-41157,CR23-3533A,2022-12-12,Yala,Southern Province,CIC Agri Businesses,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,10.0,165.88,1658.8,100,0.0,46.3,0.0,Calcium: 1.26 %,1.4,Yes,Imported directly
AGR-94115,BT23-6709B,2024-02-05,Maha,Southern Province,Matara Farm Solutions,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,51.5,269.15,13861.22,100,12.1,11.4,17.0,Magnesium: 24.2 g/kg | Boron: 0.81 %,1.2,Yes,Local production batch
AGR-35908,LT24-5410B,2024-07-19,Off-Season,Western Province,Jaffna Fertilizer Depot,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,26.0,276.08,7178.08,100,15.2,14.91,15.1,Sulfur: 12.2 g/kg | Boron: 24.3 g/100g,2.9,Yes,
AGR-22686,MF24-8552,2022-02-11,Off-Season,Northern Province,Browns Agricultural Products,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,3.0,253.02,759.06,100,11.9,12.0,17.1,Magnesium: 7.4 g/100g | Boron: 1.66 %,0.7,No,
AGR-82793,MF23-9498,2022-12-22,Maha,Western Province,Browns Agricultural Products,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,101.0,279.63,28242.63,100,15.1,14.9,14.0,Sulfur: 26.1 g/100g | Boron: 8.6 g/kg,1.9,Yes,Retest recommended
AGR-97097,MF22-3312A,2022-07-04,Off-Season,Eastern Province,Agromart Ltd,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,4.0,38.16,152.64,100,1.6,0.9,1.3,Organic Carbon: 11.0 g/kg | Humus: 12.7 g/100g,3.3,Yes,Expired stock — discounted
AGR-19343,CR22-1006,2022-10-08,Off-Season,Western Province,Browns Agricultural Products,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,2.0,170.0,340.0,100,0.0,0.0,57.6,Chlorine: 0.86 %,3.5,Yes,Local production batch
AGR-20274,BT23-4580B,2024-07-01,Maha,Sabaragamuwa Province,Abans Agri Supplies,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,2.0,270.0,540.0,100,11.8,12.5,17.2,Magnesium: 12.3 g/kg | Boron: 15.9 g/100g,1.3,No,Local production batch
AGR-20361,BT24-8321,2024-09-11,Off-Season,North Central Province,Hayleys Agriculture Holdings,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,50.0,110.0,5500.0,100,45.7,0.17,0.0,Not Detected,2.4,No,Slight clumping observed
AGR-58819,AG23-9180,2024-11-08,Maha,Western Province,CIC Agri Businesses,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,200.0,30.0,6000.0,100,1.5,1.02,1.3,Organic Carbon: 14.4 g/kg | Humus: 0.7 %,3.1,Yes,
AGR-68019,AG22-9281C,2022-08-31,Maha,Central Province,CIC Agri Businesses,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,98.0,276.86,27132.28,100,15.4,15.0,14.6,Sulfur: 1.13 % | Boron: 12.4 g/kg,4.4,Yes,Retest recommended
AGR-34232,LT22-4824B,2022-03-16,Off-Season,North Central Province,Anuradhapura Agro Mart,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,100.5,313.1,31466.55,100,11.6,12.0,16.9,Magnesium: 24.1 g/100g | Boron: 1.35 %,0.3,No,
AGR-22969,AG22-3191C,2022-06-01,Off-Season,North Western Province,Eastern Agrochem Depot,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,4.0,212.85,851.4,100,0.0,0.03,59.5,Chlorine: 27.6 g/100g,3.9,No,Imported directly
AGR-23898,BT23-9544A,2024-09-16,Maha,Central Province,Kurunegala Agri Centre,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,4.0,105.0,420.0,100,45.3,0.09,0.0,Not Detected,2.9,Yes,Sample from bulk storage
AGR-78601,CR24-3827A,2022-08-04,Maha,North Central Province,Matara Farm Solutions,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,103.0,50.0,5150.0,100,0.04,0.18,0.0,Calcium: 1.28 % | Magnesium: 16.7 g/100g,2.7,No,
AGR-19665,BT23-8927A,2024-09-24,Yala,Eastern Province,Hayleys Agriculture Holdings,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,200.0,105.0,21000.0,100,45.82,0.07,0.0,Not Detected,2.6,Yes,Slight clumping observed
AGR-23291,AG23-6972A,2022-10-27,Maha,Northern Province,Browns Agricultural Products,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,3.5,26.05,91.17,100,1.5,1.0,1.3,Organic Carbon: 0.89 % | Humus: 7.1 g/kg,3.1,Yes,
AGR-33433,BT23-8869A,2022-03-17,Off-Season,Western Province,Lankem Ceylon PLC,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,13.0,36.64,476.32,100,1.5,0.9,1.4,Organic Carbon: 18.1 g/kg | Humus: 0.77 %,4.1,No,Local production batch
AGR-94769,LT22-9373B,2022-06-06,Off-Season,Central Province,Matara Farm Solutions,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,100.0,140.0,14000.0,100,0.0,46.1,0.19,Calcium: 25.8 g/100g,2.2,No,
AGR-97059,LT23-2457C,2023-09-22,Yala,Northern Province,Hayleys Agriculture Holdings,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,100.0,70.0,7000.0,100,0.03,0.0,0.0,Calcium: 1.25 % | Magnesium: 9.0 g/100g,3.8,Yes,
AGR-80962,LT22-2059C,2022-11-27,Off-Season,Southern Province,Eastern Agrochem Depot,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,103.0,175.0,18025.0,100,0.22,0.0,58.1,Chlorine: 21.2 g/kg,3.6,Yes,
AGR-81800,BT24-3766A,2023-08-10,Off-Season,Sabaragamuwa Province,Colombo Pesticide Warehouse,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,500.0,280.0,140000.0,100,15.6,15.2,15.0,Sulfur: 11.3 g/kg | Boron: 1.17 %,3.9,Yes,Sample from bulk storage
AGR-11899,MF22-4737B,2022-04-01,Yala,Western Province,Colombo Pesticide Warehouse,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,23.0,125.78,2892.94,100,45.5,0.0,0.0,Not Detected,3.7,Yes,Local production batch
AGR-37589,BT22-4677B,2024-10-07,Maha,Sabaragamuwa Province,Jaffna Fertilizer Depot,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,200.0,49.0,9800.0,100,0.24,0.0,0.0,Calcium: 6.6 g/kg | Magnesium: 27.9 g/kg,1.6,Yes,
AGR-34237,BT23-9190,2024-11-05,Yala,Sabaragamuwa Province,Agromart Ltd,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,1.0,51.65,51.65,100,0.18,28.74,0.18,Calcium: 1.46 %,1.7,No,Expired stock — discounted
AGR-69060,CR22-5700B,2022-09-02,Yala,Eastern Province,CIC Agri Businesses,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,25.0,59.24,1481.0,100,0.0,0.0,0.0,Calcium: 1.43 % | Magnesium: 19.8 g/kg,2.3,Yes,Imported directly
AGR-32613,BT22-8104,2022-09-24,Yala,North Central Province,Kurunegala Agri Centre,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,50.0,54.65,2732.5,100,0.0,26.7,0.0,Calcium: 11.2 g/100g,4.4,Yes,Slight clumping observed
AGR-39826,CR23-6846C,2023-04-12,Maha,Northern Province,CIC Agri Businesses,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,3.5,118.0,413.0,100,21.6,0.13,0.0,Sulfur: 8.7 g/100g,3.7,Yes,
AGR-27506,AG24-4858A,2024-02-23,Yala,North Central Province,Matara Farm Solutions,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,25.5,105.0,2677.5,100,45.2,0.0,0.1,Not Detected,0.4,Yes,Retest recommended
AGR-80919,LT22-4619,2023-03-08,Maha,Southern Province,Anuradhapura Agro Mart,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,100.0,318.87,31887.0,100,11.6,12.5,16.7,Magnesium: 10.0 g/100g | Boron: 2.61 %,4.4,No,Imported directly
AGR-45106,LT23-1804B,2024-10-21,Off-Season,Northern Province,Browns Agricultural Products,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,51.5,110.75,5703.62,100,21.8,0.0,0.24,Sulfur: 11.8 g/100g,1.6,No,Imported directly
AGR-30447,MF22-3453,2024-12-09,Off-Season,Sabaragamuwa Province,Anuradhapura Agro Mart,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,201.0,263.04,52871.04,100,15.5,14.0,14.8,Sulfur: 0.91 % | Boron: 9.5 g/kg,2.3,Yes,
AGR-27163,BT22-3212B,2023-07-03,Yala,Uva Province,Anuradhapura Agro Mart,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,100.0,137.57,13757.0,100,20.6,0.0,0.0,Sulfur: 2.79 %,0.5,No,Retest recommended
AGR-50339,LT22-9212B,2024-08-05,Off-Season,North Western Province,Matara Farm Solutions,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,501.5,141.71,71067.57,100,0.0,46.8,0.0,Calcium: 22.1 g/kg,1.0,Yes,
AGR-90192,AG24-1603B,2024-03-20,Maha,Sabaragamuwa Province,CIC Agri Businesses,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,201.5,204.46,41198.69,100,0.0,0.0,59.44,Chlorine: 0.69 %,1.5,Yes,
AGR-18189,BT22-7598,2024-03-19,Maha,North Western Province,CIC Agri Businesses,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,50.0,125.0,6250.0,100,20.7,0.0,0.11,Sulfur: 17.8 g/kg,3.4,Yes,
AGR-42014,AG23-5126B,2024-08-08,Off-Season,North Central Province,Anuradhapura Agro Mart,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,10.0,225.0,2250.0,100,14.5,15.2,14.8,Sulfur: 2.11 % | Boron: 17.5 g/100g,4.2,Yes,
AGR-82678,BT23-1626B,2024-02-21,Off-Season,Eastern Province,Hayleys Agriculture Holdings,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,200.0,287.79,57558.0,100,15.31,14.7,15.6,Sulfur: 0.74 % | Boron: 1.75 %,3.8,Yes,Imported directly
AGR-89778,CR23-7963A,2022-04-10,Off-Season,North Western Province,Colombo Pesticide Warehouse,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,50.0,45.74,2287.0,100,0.0,0.11,0.0,Calcium: 14.5 g/100g | Magnesium: 26.9 g/kg,2.9,Yes,
AGR-37408,BT22-9507C,2023-07-10,Yala,Eastern Province,Agromart Ltd,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,1001.5,175.0,175262.5,100,0.0,0.0,57.8,Chlorine: 2.73 %,1.7,Yes,Local production batch
AGR-54493,LT24-8014,2023-10-01,Yala,Southern Province,Colombo Pesticide Warehouse,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,3.0,225.93,677.79,100,14.6,15.0,15.1,Sulfur: 6.1 g/100g | Boron: 7.7 g/kg,0.8,Yes,
AGR-76907,BT23-3113C,2024-09-04,Yala,Central Province,Matara Farm Solutions,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,202.0,119.21,24080.42,100,46.0,0.21,0.24,Not Detected,1.6,Yes,
AGR-56386,CR24-1081,2022-11-11,Yala,Central Province,Hayleys Agriculture Holdings,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,1003.0,67.48,67682.44,100,0.0,0.0,0.17,Calcium: 1.43 % | Magnesium: 8.3 g/kg,1.9,Yes,Sample from bulk storage
AGR-94105,AG23-7324B,2024-02-22,Yala,Eastern Province,Kandy Farm Supplies,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,500.0,120.0,60000.0,100,45.16,0.0,0.0,Not Detected,2.2,No,Local production batch
AGR-18914,MF24-9439,2022-03-21,Off-Season,Western Province,Browns Agricultural Products,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,25.0,65.0,1625.0,100,0.25,0.0,0.0,Calcium: 1.38 % | Magnesium: 1.68 %,1.2,Yes,Opened bag — partial quantity
AGR-43005,AG23-8498C,2023-04-14,Off-Season,Sabaragamuwa Province,Eastern Agrochem Depot,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,999.0,255.61,255354.39,100,11.7,12.2,17.5,Magnesium: 10.0 g/100g | Boron: 2.69 %,1.5,Yes,
AGR-42585,CR23-2846A,2022-07-10,Maha,Northern Province,Agromart Ltd,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,500.0,258.53,129265.0,100,14.9,14.5,14.6,Sulfur: 1.23 % | Boron: 15.7 g/100g,3.4,Yes,Retest recommended
AGR-78173,BT22-6699,2023-04-18,Maha,Western Province,CIC Agri Businesses,NPK 15-15-15,Sri Lanka,"General Crops, Horticulture",Broadcast / Foliar,1000.0,254.03,254030.0,100,15.0,15.4,15.2,Sulfur: 0.9 % | Boron: 1.27 %,2.1,Yes,
AGR-67959,CR23-9417C,2024-02-10,Off-Season,Northern Province,Jaffna Fertilizer Depot,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,503.0,205.0,103115.0,100,0.0,0.0,62.15,Chlorine: 20.3 g/100g,1.1,Yes,Slight clumping observed
AGR-44660,LT24-9303B,2023-08-17,Off-Season,North Western Province,Browns Agricultural Products,MOP (Muriate of Potash),Canada,"Paddy, Banana, Tea",Top Dressing,500.0,186.78,93390.0,100,0.12,0.0,61.5,Chlorine: 21.7 g/kg,0.8,Yes,Local production batch
AGR-48320,MF23-9751,2023-07-26,Yala,Central Province,Kandy Farm Supplies,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,50.5,120.86,6103.43,100,46.61,0.0,0.0,Not Detected,3.1,Yes,
AGR-56560,MF23-2950B,2024-04-22,Off-Season,Western Province,Matara Farm Solutions,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,500.0,142.11,71055.0,100,20.7,0.0,0.0,Sulfur: 1.3 %,1.9,Yes,Sample from bulk storage
AGR-17414,MF22-9005C,2022-04-06,Off-Season,Southern Province,Agromart Ltd,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,13.0,30.0,390.0,100,1.6,1.0,1.4,Organic Carbon: 8.0 g/kg | Humus: 22.5 g/kg,1.8,Yes,
AGR-82840,LT23-4339B,2024-09-01,Maha,North Western Province,Hayleys Agriculture Holdings,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,2.0,168.79,337.58,100,0.14,46.91,0.09,Calcium: 0.74 %,2.8,Yes,Sample from bulk storage
AGR-99391,CR23-1516A,2022-05-16,Maha,North Western Province,Hayleys Agriculture Holdings,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,2.0,195.0,390.0,100,0.16,46.3,0.25,Calcium: 26.6 g/kg,2.4,Yes,
AGR-86872,AG22-8391,2022-02-18,Off-Season,Sabaragamuwa Province,Lankem Ceylon PLC,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,100.0,194.83,19483.0,100,0.05,46.0,0.0,Calcium: 24.5 g/100g,3.9,Yes,Local production batch
AGR-26522,MF23-9340C,2024-11-16,Maha,North Western Province,Agromart Ltd,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,1.5,57.01,85.52,100,0.0,27.8,0.0,Calcium: 17.8 g/100g,4.1,Yes,Retest recommended
AGR-47359,BT23-1060A,2024-07-16,Off-Season,Uva Province,CIC Agri Businesses,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,48.0,308.22,14794.56,100,11.68,12.1,16.7,Magnesium: 21.5 g/kg | Boron: 17.5 g/100g,3.7,No,
AGR-61904,BT23-1095B,2023-03-03,Yala,Central Province,Pettah Agro Traders,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,10.0,108.51,1085.1,100,45.9,0.0,0.0,Not Detected,4.1,Yes,
AGR-35374,AG22-1839,2022-12-27,Off-Season,Western Province,Kandy Farm Supplies,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,2.0,118.5,237.0,100,21.0,0.0,0.0,Sulfur: 11.3 g/kg,2.8,Yes,
AGR-67889,CR23-9679,2022-06-29,Off-Season,Central Province,Browns Agricultural Products,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,1000.0,178.9,178900.0,100,0.0,46.8,0.12,Calcium: 7.7 g/kg,2.1,Yes,Slight clumping observed
AGR-97404,CR23-8006,2022-12-19,Yala,Southern Province,Abans Agri Supplies,TSP (Triple Super Phosphate),India,"Vegetables, Root Crops",Basal Application,998.0,190.0,189620.0,100,0.0,46.5,0.0,Calcium: 10.5 g/100g,4.2,Yes,
AGR-93894,BT22-9597C,2023-12-15,Maha,Eastern Province,Abans Agri Supplies,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,5.5,105.32,579.26,100,45.9,0.22,0.0,Not Detected,3.7,No,
AGR-12589,LT24-1744B,2022-04-26,Off-Season,Southern Province,Browns Agricultural Products,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,1000.0,34.89,34890.0,100,0.0,26.9,0.0,Calcium: 12.1 g/100g,2.9,Yes,
AGR-43115,LT22-2144B,2024-01-12,Maha,Northern Province,Hayleys Agriculture Holdings,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,500.0,70.81,35405.0,100,0.23,0.14,0.0,Calcium: 1.13 % | Magnesium: 16.9 g/100g,1.2,No,
AGR-51090,BT23-7384C,2022-01-26,Yala,North Central Province,Eastern Agrochem Depot,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,100.0,128.34,12834.0,100,45.8,0.23,0.11,Not Detected,0.8,No,
AGR-83966,CR24-6573C,2022-07-21,Off-Season,North Central Province,Abans Agri Supplies,NPK 12-12-17,Germany,"Horticulture, Fruit Crops",Broadcast,1000.0,290.0,290000.0,100,12.22,12.1,16.4,Magnesium: 23.5 g/kg | Boron: 6.5 g/kg,2.1,Yes,Imported directly
AGR-36866,LT23-5180,2024-08-10,Off-Season,Eastern Province,Anuradhapura Agro Mart,Urea,Sri Lanka,"Paddy, Maize, Vegetables",Broadcast / Soil Incorporation,1.0,129.27,129.27,100,46.88,0.15,0.0,Not Detected,2.7,Yes,Retest recommended
AGR-66600,MF23-4279B,2023-04-26,Off-Season,Western Province,Agromart Ltd,Dolomite,Sri Lanka,"Tea, Vegetables, Acidic Soils",Soil Amendment,10.0,63.12,631.2,100,0.24,0.0,0.0,Calcium: 16.0 g/100g | Magnesium: 15.0 g/100g,2.8,No,Imported directly
AGR-76409,MF24-3669A,2023-09-08,Maha,Eastern Province,Galle Agrochemical Stores,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,101.0,112.55,11367.55,100,20.3,0.0,0.0,Sulfur: 15.9 g/kg,3.7,Yes,Opened bag — partial quantity
AGR-41579,MF24-7644B,2023-09-26,Off-Season,Eastern Province,CIC Agri Businesses,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,12.0,40.0,480.0,100,0.2,28.7,0.0,Calcium: 2.48 %,1.0,Yes,
AGR-91026,CR23-7459B,2024-11-04,Off-Season,Uva Province,Galle Agrochemical Stores,Compost / Organic,Sri Lanka,"All Crops, Soil Health",Incorporation,4.0,20.0,80.0,100,1.5,0.9,1.5,Organic Carbon: 1.13 % | Humus: 19.2 g/100g,2.4,Yes,Opened bag — partial quantity
AGR-91256,BT24-5455,2023-05-16,Off-Season,Southern Province,Colombo Pesticide Warehouse,Eppawala Rock Phosphate (ERP),Sri Lanka,"Tea, Rubber, Coconut",Basal Application,2.0,35.0,70.0,100,0.0,27.8,0.01,Calcium: 22.0 g/kg,3.7,No,Local production batch
AGR-78389,MF24-4814C,2024-07-16,Maha,Sabaragamuwa Province,Abans Agri Supplies,Ammonium Sulfate (SOA),China,"Tea, Vegetables",Top Dressing,4.0,136.97,547.88,100,20.6,0.19,0.0,Sulfur: 13.6 g/kg,4.1,No,Retest recommended
